CONTAINER ID   IMAGE                                                  COMMAND                  CREATED          STATUS                 PORTS                                                                                      NAMES
b368e0467308   apexnexus-apex-document-service                        "java -jar app.jar"      27 minutes ago   Up 27 minutes          0.0.0.0:8202->8082/tcp, [::]:8202->8082/tcp                                                apex-document-service
585f9eaf3e2b   apexnexus-apex-web                                     "docker-entrypoint.s…"   24 hours ago     Up 2 hours             0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                apex-web
7a213fa91ac5   apexnexus-apex-gateway                                 "java -jar app.jar"      26 hours ago     Up 2 hours             0.0.0.0:8200->8080/tcp, [::]:8200->8080/tcp                                                apex-gateway
3b3ed85fe11f   apexnexus-apex-audit-service                           "java -jar app.jar"      29 hours ago     Up 2 hours             0.0.0.0:8206->8086/tcp, [::]:8206->8086/tcp                                                apex-audit-service
2879bb4fb953   apexnexus-apex-workflow-service                        "java -jar app.jar"      39 hours ago     Up 2 hours             0.0.0.0:8203->8083/tcp, [::]:8203->8083/tcp                                                apex-workflow-service
3fe492f2c909   apexnexus-apex-retention-service                       "java -jar app.jar"      2 days ago       Up 2 hours             0.0.0.0:8205->8085/tcp, [::]:8205->8085/tcp                                                apex-retention-service
4218a9e72a6a   apexnexus-apex-auth-service                            "java -jar app.jar"      2 days ago       Up 2 hours             0.0.0.0:8201->8081/tcp, [::]:8201->8081/tcp                                                apex-auth-service
369db80df12a   apexnexus-apex-search-service                          "java -jar app.jar"      2 days ago       Up About an hour       0.0.0.0:8204->8084/tcp, [::]:8204->8084/tcp                                                apex-search-service
f90c48755d9b   apexnexus-apex-notification-service                    "java -jar app.jar"      2 days ago       Up 2 hours             0.0.0.0:8207->8087/tcp, [::]:8207->8087/tcp                                                apex-notification-service
e9d95cde0eff   postgres:16-alpine                                     "docker-entrypoint.s…"   3 days ago       Up 2 hours (healthy)   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                apex-postgres
a532973a098b   docker.elastic.co/elasticsearch/elasticsearch:8.12.0   "/bin/tini -- /usr/l…"   3 days ago       Up 2 hours (healthy)   0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                apex-elasticsearch
7bac0510d5c8   minio/minio:latest                                     "/usr/bin/docker-ent…"   3 days ago       Up 2 hours (healthy)   0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                            apex-minio
067bc58a87dd   redis:7-alpine                                         "docker-entrypoint.s…"   3 days ago       Up 2 hours (healthy)   0.0.0.0:6579->6379/tcp, [::]:6579->6379/tcp                                                apex-redis
57f11fad964c   mailhog/mailhog:latest                                 "MailHog"                3 days ago       Up 2 hours             0.0.0.0:1025->1025/tcp, [::]:1025->1025/tcp, 0.0.0.0:8025->8025/tcp, [::]:8025->8025/tcp   apex-mailhog
