CONTAINER ID   IMAGE                                                  COMMAND                  CREATED             STATUS                  PORTS                                                                                      NAMES
bc291a8d6e40   apexnexus-apex-document-service                        "java -jar app.jar"      5 minutes ago       Up 5 minutes            0.0.0.0:8202->8082/tcp, [::]:8202->8082/tcp                                                apex-document-service
a3f1826a6047   apexnexus-apex-search-service                          "java -jar app.jar"      About an hour ago   Up About an hour        0.0.0.0:8204->8084/tcp, [::]:8204->8084/tcp                                                apex-search-service
2c0a940691d0   apexnexus-apex-web                                     "docker-entrypoint.s…"   6 hours ago         Up 6 hours              0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                apex-web
c496509faa44   apexnexus-apex-gateway                                 "java -jar app.jar"      14 hours ago        Up About an hour        0.0.0.0:8200->8080/tcp, [::]:8200->8080/tcp                                                apex-gateway
d0a79d502a79   apexnexus-apex-retention-service                       "java -jar app.jar"      25 hours ago        Up 25 hours             0.0.0.0:8205->8085/tcp, [::]:8205->8085/tcp                                                apex-retention-service
2e05e16f9fcd   apexnexus-apex-workflow-service                        "java -jar app.jar"      25 hours ago        Up 25 hours             0.0.0.0:8203->8083/tcp, [::]:8203->8083/tcp                                                apex-workflow-service
a9a8f6417b4a   apexnexus-apex-notification-service                    "java -jar app.jar"      25 hours ago        Up 25 hours             0.0.0.0:8207->8087/tcp, [::]:8207->8087/tcp                                                apex-notification-service
0b5ab8880a94   apexnexus-apex-audit-service                           "java -jar app.jar"      25 hours ago        Up 25 hours             0.0.0.0:8206->8086/tcp, [::]:8206->8086/tcp                                                apex-audit-service
58374c7f36dd   apexnexus-apex-auth-service                            "java -jar app.jar"      25 hours ago        Up 25 hours             0.0.0.0:8201->8081/tcp, [::]:8201->8081/tcp                                                apex-auth-service
79351432d1d6   postgres:16-alpine                                     "docker-entrypoint.s…"   25 hours ago        Up 25 hours (healthy)   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                apex-postgres
d9c8759963e9   redis:7-alpine                                         "docker-entrypoint.s…"   25 hours ago        Up 25 hours (healthy)   0.0.0.0:6579->6379/tcp, [::]:6579->6379/tcp                                                apex-redis
15986f9133fc   minio/minio:latest                                     "/usr/bin/docker-ent…"   25 hours ago        Up 25 hours (healthy)   0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                            apex-minio
9392532e8a50   docker.elastic.co/elasticsearch/elasticsearch:8.12.0   "/bin/tini -- /usr/l…"   25 hours ago        Up 25 hours (healthy)   0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                apex-elasticsearch
78616d105a96   mailhog/mailhog:latest                                 "MailHog"                25 hours ago        Up 25 hours             0.0.0.0:1025->1025/tcp, [::]:1025->1025/tcp, 0.0.0.0:8025->8025/tcp, [::]:8025->8025/tcp   apex-mailhog
